MUNICIPIO;NATUREZA DO FATO;ARMA UTILIZADA;SEXO;IDADE;DATA
FORTALEZA;HOMICIDIO DOLOSO;OUTROS;M;;2019-01-13
SAO BENEDITO;HOMICIDIO DOLOSO;ARMA BRANCA;M;21;2019-01-13
BARBALHA;HOMICIDIO DOLOSO;ARMA BRANCA;M;22;2019-01-13
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;23;2019-01-13
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;18;2019-01-13
ARACOIABA;HOMICIDIO DOLOSO;OUTROS;M;16;2019-01-13
FORTALEZA;HOMICIDIO DOLOSO;OUTROS;M;35;2019-01-13
ITAPAJE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;22;2019-01-13
MARACANAU;HOMICIDIO DOLOSO;ARMA DE FOGO;M;18;2019-01-13
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;25;2019-01-14
MARANGUAPE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;20;2019-01-14
MARANGUAPE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;16;2019-01-14
MARCO;HOMICIDIO DOLOSO;ARMA DE FOGO;M;20;2019-01-14
CAUCAIA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;36;2019-01-15
MARACANAU;FEMINICIDIO;ARMA DE FOGO;F;22;2019-01-15
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;28;2019-01-16
ITAPIPOCA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;12;2019-01-17
SOBRAL;HOMICIDIO DOLOSO;ARMA DE FOGO;M;34;2019-01-17
MARACANAU;HOMICIDIO DOLOSO;ARMA DE FOGO;M;21;2019-01-17
INDEPENDÊNCIA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;34;2019-01-17
TARRAFAS;HOMICIDIO DOLOSO;OUTROS;M;31;2019-01-17
MAURITI;HOMICIDIO DOLOSO;ARMA DE FOGO;M;22;2019-01-18
MISSAO VELHA;HOMICIDIO DOLOSO;ARMA BRANCA;M;27;2019-01-18
JUAZEIRO DO NORTE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;30;2019-01-18
